state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density
Alabama,Autauga,58902,59210,59759,4126,12977,11367,11144,10.4,32.8,28.7,28.1,6296.0,72.5382932166302,19.73548719268889,2.294375080447934,2.1881838074398248,0.1850302484232205,2.59,35.8534189940189
Alabama,Baldwin,233219,239361,246435,14555,44342,50518,52562,9.0,27.4,31.2,32.5,25526.0,82.42230277168268,8.450823746196463,2.8129003058993725,1.4135218029070542,0.14304937628047376,2.61,50.5415035640023
Alabama,Barbour,24960,24539,24706,4378,6600,5010,2007,24.3,36.7,27.8,11.2,5089.0,45.96696569514496,47.20671466522928,1.3937550533246064,0.5852231163130944,0.050051977053093596,2.49,11.247981205619
Alabama,Bibb,22183,22370,22005,3125,7052,3967,1913,19.5,43.9,24.7,11.9,4204.0,74.71562648674366,20.081311361965312,1.859781151334285,0.24220405691795338,0.07785130400934215,2.99,13.9731140005546
Alabama,Blount,59102,59085,59512,6650,14284,13673,6061,16.4,35.1,33.6,14.9,6992.0,86.18816128109809,1.9858291233755918,2.9008991834270645,0.5687414609347695,0.10485177771423124,2.77,34.5158164233531
Alabama,Bullock,10296,10280,10202,1540,2841,1692,804,22.4,41.3,24.6,11.7,2764.0,23.749529898458064,70.44001504324933,1.297480255735239,0.2632568634825122,0.16923655509590071,2.75,6.41761954967603
Alabama,Butler,19031,18855,18650,1932,6050,3523,1879,14.4,45.2,26.3,14.0,4226.0,52.14674051115289,44.41847467100249,1.1330725064783294,1.00096539809969,0.1473502362684823,2.94,9.95277078503475
Alabama,Calhoun,116239,115677,115788,11867,27783,24939,15674,14.8,34.6,31.1,19.5,21630.0,70.176624349568,22.34880255368354,2.2662312809947642,1.4274895564440608,0.1897347784663241,2.49,73.3486880019654
Alabama,Chambers,34645,34446,34088,4275,8996,8167,3390,17.2,36.2,32.9,13.7,6699.0,55.30458400310404,38.82545313452691,1.4356188681336954,1.338617593259797,0.10808713485948673,2.46,21.8926380821564
Alabama,Cherokee,24972,25026,25302,3720,6809,5543,2364,20.2,36.9,30.1,12.8,4513.0,90.94099498650212,4.701118395680679,2.3293482452757424,0.37794060933281914,0.09641342074816814,2.41,18.0333282957246
Alabama,Chilton,45051,45259,45884,5569,13113,7719,4133,18.2,42.9,25.3,13.5,6973.0,79.49850315293318,9.632900910847365,2.2102380092995606,0.5562750801503216,0.05307968322045054,2.6,24.4806693894376
Alabama,Choctaw,12619,12549,12439,1802,3477,2915,1087,19.4,37.5,31.4,11.7,2893.0,56.30842926678513,41.39689407401684,1.0739395812408252,0.34767828169667003,0.04635710422622267,2.41,5.52650860439243
