state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density,cases_2022,cases_percentage_2022,cases_2021,cases_percentage_2021,cases_2020,cases_percentage_2020,pov_percentage
Hawaii,Kauai,73186,73791,73810,4153,15503,17036,15772,7.9,29.5,32.5,30.1,8101.0,37.88753874157524,1.1049343238057756,2.4420721208245197,35.68357357209623,19.63496826880504,3.13,44.4580138369705,12864.0,17.428532719143746,324.0,0.43907793633369924,78.0,0.1065777607739185,10.978303587158326
Washington,San Juan,17827,18615,18662,620,2372,4052,7413,4.3,16.4,28.0,51.3,1997.0,86.17114561303967,0.938773404858926,2.867901170887708,2.4758859029246403,0.448754319905091,2.03,36.571795865662,1450.0,7.769799592755332,185.0,0.99382218640881,44.0,0.24681662646547373,10.727907601396723
Washington,Jefferson,33063,33561,33589,1057,5832,8799,11695,3.9,21.3,32.1,42.7,3699.0,86.7564847942755,1.3305008944543828,4.329718246869409,2.683363148479428,0.6149373881932022,2.11,6.60503139889385,3198.0,9.520974128434904,415.0,1.2365543338994667,106.0,0.32060006653963646,11.021721641190668
Alaska,Haines,2086,2074,2056,33,564,467,367,2.3,39.4,32.6,25.6,223.0,77.17206132879046,0.6814310051107325,15.885860306643954,2.044293015332197,0.8091993185689949,2.41,0.415544893969977,624.0,30.35019455252918,28.0,1.3500482160077145,16.0,0.7670182166826461,10.752169720347156
Hawaii,Hawaii,200712,203792,206315,10285,42111,47704,43240,7.2,29.4,33.3,30.2,29361.0,39.36371904295509,1.3949909052749403,2.9292010633832377,28.87400307821463,23.94291311039597,2.84,18.9443032718452,28425.0,13.777476189322153,2968.0,1.4563869042945747,1469.0,0.7318944557375743,14.407336892517861
California,Sierra,3228,3295,3217,130,681,981,515,5.6,29.5,42.5,22.3,398.0,82.32445520581115,1.721818670971213,4.170029593758407,2.044659671778316,1.022329835889158,2.34,1.18686208307387,324.0,10.07149518184644,55.0,1.669195751138088,11.0,0.34076827757125155,12.078907435508345
Washington,Clallam,77357,78442,77805,4206,14746,22389,17733,7.1,25.0,37.9,30.0,9204.0,81.60790078960473,1.5993645223247102,8.601474877291158,2.722120788182012,0.5513005951675243,2.24,16.5410432314785,11901.0,15.295932138037402,1325.0,1.689146120700645,299.0,0.3865196426955544,11.733510109380179
New Mexico,Harding,655,636,628,54,116,132,101,13.4,28.8,32.8,25.1,111.0,70.44917257683215,1.3002364066193852,3.4278959810874707,1.3002364066193852,0.2364066193853428,2.18,0.0833793050914616,85.0,13.535031847133757,12.0,1.8867924528301887,4.0,0.6106870229007634,17.452830188679243
Washington,Island,86990,87557,86625,2842,13698,24170,21894,4.5,21.9,38.6,35.0,6905.0,79.02840538947544,4.05244708242423,3.17453752055177,6.534170225526591,1.071277156772519,2.31,151.165669967486,10635.0,12.277056277056277,1785.0,2.0386719508434505,488.0,0.5609840211518565,7.886291216007859
California,Trinity,16089,16061,15781,764,4800,4605,2324,6.1,38.4,36.9,18.6,3010.0,73.39876326090656,0.7942361150507744,6.830430589436659,13.513360186078174,0.5162534747830034,2.17,1.56200946498919,1485.0,9.410050060198975,329.0,2.0484403212751383,63.0,0.3915718814096587,18.741049747836374
Montana,Petroleum,500,522,524,2,137,99,94,0.6,41.3,29.8,28.3,67.0,92.61363636363636,0.946969696969697,2.272727272727273,1.1363636363636365,1.893939393939394,2.31,0.100745144084347,35.0,6.679389312977099,12.0,2.2988505747126435,5.0,1.0,12.835249042145595
Colorado,Hinsdale,788,773,775,27,120,249,348,3.6,16.1,33.5,46.8,59.0,85.40478905359178,3.30672748004561,3.30672748004561,3.534777651083238,2.0524515393386547,2.26,0.303426738221774,131.0,16.903225806451612,18.0,2.3285899094437257,5.0,0.6345177664974619,7.632600258732213
Virginia,Fairfax city,24175,24391,24835,1176,2210,2931,10038,7.2,13.5,17.9,61.4,1747.0,59.4120244315255,5.298403120170726,1.6447126352196628,18.927073368165427,0.1950106703951726,2.72,1476.54520471141,2056.0,8.278639017515603,568.0,2.3287278094379076,178.0,0.7362978283350569,7.162477963183142
Oregon,Wheeler,1460,1453,1445,118,362,432,223,10.4,31.9,38.1,19.6,248.0,85.50093341630367,1.2445550715619167,5.849408836341008,2.0535158680771626,0.9956440572495332,2.13,0.32084779272761,246.0,17.024221453287197,34.0,2.3399862353750858,1.0,0.0684931506849315,17.068134893324157
Oregon,Tillamook,27466,27800,27574,1902,5995,7925,4559,9.3,29.4,38.9,22.4,3974.0,83.3394081977534,0.9377381622982868,4.055800391000364,1.888730574240366,0.7820007289837304,2.34,9.13305677111626,3827.0,13.879016464785668,664.0,2.3884892086330938,95.0,0.34588218160634965,14.29496402877698
Maine,Hancock,55500,56403,56701,2025,13222,12085,15046,4.8,31.2,28.5,35.5,6077.0,92.74870327928176,1.170064275990419,2.145405042132653,1.5577880787854768,0.103393014078682,2.24,13.2682748856057,7983.0,14.07911677042733,1353.0,2.398808574012021,151.0,0.27207207207207207,10.77424959665266
Oregon,Clatsop,41160,41916,41695,2361,8241,11680,7729,7.9,27.5,38.9,25.8,5315.0,84.64245150658085,1.1758679820947375,3.5587822639912696,2.4452709173106477,0.6614257399282899,2.37,17.9786242773207,4810.0,11.536155414318264,1011.0,2.4119667907243056,295.0,0.716715257531584,12.680122149060026
Oregon,Wallowa,7401,7554,7659,334,1574,2131,1538,6.0,28.2,38.2,27.6,958.0,89.92796663717932,0.7708833565019588,3.424744092000505,1.0994565904208264,0.4423101225830911,2.15,0.849796256990401,1267.0,16.542629586107847,188.0,2.4887476833465714,69.0,0.9323064450749898,12.6820227693937
Vermont,Windsor,57744,58350,58142,2521,12237,11061,17363,5.8,28.3,25.6,40.2,5547.0,91.63315350662089,1.5072748079123752,2.493052149746608,1.5334314206310282,0.1078960274644433,2.24,22.0719633461461,9638.0,16.57665714973685,1477.0,2.5312767780634107,149.0,0.25803546688833473,9.50642673521851
New Mexico,Catron,3611,3726,3827,151,1224,1059,494,5.2,41.8,36.2,16.9,737.0,83.33754102499368,1.4390305478414542,3.332491795001262,0.8078767987881849,0.2524614996213077,2.46,0.197339545334343,420.0,10.974653775803501,95.0,2.549651100375738,14.0,0.3877042370534478,19.779924852388618
Maine,Waldo,39654,39984,40241,2043,9530,8172,9681,6.9,32.4,27.8,32.9,5124.0,93.64160455411631,0.9045517041754106,2.3687193960006754,0.914200255686615,0.1061340666232481,2.27,20.8492965884332,6467.0,16.070674188017197,1022.0,2.5560224089635852,188.0,0.4741009734200837,12.815126050420167
California,Mariposa,17118,17107,17020,1233,3028,5351,3901,9.1,22.4,39.6,28.9,2387.0,79.02975821450713,1.3794172349659022,6.89708617482951,2.614176482744369,0.6251291589171317,2.13,4.67425188076992,3145.0,18.478260869565215,458.0,2.677266616005144,89.0,0.5199205514662928,13.953352428830303
Nevada,Storey,4106,4145,4170,184,825,1173,860,6.0,27.1,38.6,28.3,290.0,83.11149901811041,1.331005891337552,4.473052585642592,3.098407156884137,1.0037093606807768,2.44,5.76438580987713,133.0,3.1894484412470026,111.0,2.6779252110977083,25.0,0.6088650754992694,6.996381182147165
Nebraska,Sioux,1144,1151,1127,40,194,336,195,5.2,25.4,43.9,25.5,177.0,93.48561759729272,0.8460236886632826,1.94585448392555,0.7614213197969544,0.338409475465313,2.19,0.236515050802556,68.0,6.033717834960071,31.0,2.6933101650738487,14.0,1.2237762237762237,15.377932232841008
Hawaii,Honolulu,1012305,1004673,995638,51255,180820,218647,256030,7.3,25.6,30.9,36.2,96646.0,27.25857515556392,2.8242853247118767,1.85327774302168,46.09562641910603,18.94970476761296,3.05,634.951785126835,178469.0,17.92508923926166,27157.0,2.7030685606162406,14264.0,1.4090614982638632,9.619647387757011
New Mexico,Los Alamos,19415,19340,19187,248,1327,2716,9340,1.8,9.7,19.9,68.5,719.0,76.85998828353837,1.590734982650624,2.7218241629489435,7.034383308548511,0.2072912441980983,2.41,64.9018605269554,2880.0,15.010163131286808,530.0,2.7404343329886243,84.0,0.4326551635333505,3.7176835573940017
Oregon,Lincoln,50507,51026,50813,2793,9263,15419,11003,7.3,24.1,40.1,28.6,7633.0,81.52471045248544,1.0233076757067836,6.911373282497663,2.2606287317459177,0.5719013020645997,2.24,18.8565598845291,7223.0,14.214866274378604,1401.0,2.745659075765296,532.0,1.0533193418734037,14.959040489162387
Vermont,Orange,29299,29625,29846,1388,7347,5489,7401,6.4,34.0,25.4,34.2,2827.0,92.27964898696604,1.0775583946315654,2.8971480190992387,0.9969028261711188,0.0838817911988643,2.3,16.2622665319102,4420.0,14.809354687395295,815.0,2.7510548523206753,83.0,0.28328611898017,9.542616033755275
Maine,Knox,40657,41074,41164,1976,9759,7901,11188,6.4,31.7,25.6,36.3,4171.0,92.84056544060763,1.235436153503528,2.0700002344281128,1.0361722577771526,0.1359683053191738,2.23,42.1102304750872,6414.0,15.581576134486443,1131.0,2.753566733213225,158.0,0.3886169663280616,10.154842479427376
Maine,Aroostook,67064,67022,67255,4805,18973,15983,10133,9.6,38.0,32.0,20.3,9666.0,93.0898407120431,1.1435319872108765,3.4579600771956107,0.845407149235245,0.102255379209033,2.23,3.95110093156248,14393.0,21.400639357668574,1867.0,2.785652472322521,82.0,0.12227126327090541,14.422130046850286
Hawaii,Maui,164760,164817,164351,8772,35482,38206,35359,7.4,30.1,32.4,30.0,18548.0,38.21189441092338,1.3277966916147983,2.3790635157372697,33.14777121460078,20.75469987442824,2.99,54.9407690337212,32000.0,19.470523452853953,4640.0,2.8152435731750973,703.0,0.4266812333090556,11.253693490355971
Oregon,Curry,23516,23720,23598,1533,5208,7647,4565,8.1,27.5,40.3,24.1,3488.0,85.532758218699,0.8898733193440583,5.786119530582109,1.7564311805393644,0.3303023237739955,2.13,5.33658846624705,3385.0,14.344435969149927,668.0,2.816188870151771,81.0,0.344446334410614,14.704890387858347
Vermont,Addison,37343,37444,37578,1475,7605,5925,10981,5.7,29.3,22.8,42.3,2919.0,90.5081059207365,1.545309694225954,2.25600040466375,2.291408482763853,0.1264574217860846,2.31,18.6111273289705,5939.0,15.804460056415989,1061.0,2.833564790086529,147.0,0.39364807326674345,7.795641491293666
Maine,Washington,31087,31166,31437,2010,8588,6731,5469,8.8,37.7,29.5,24.0,5602.0,89.34965852458008,1.052113455977358,6.512643819602534,0.8306158862979143,0.1261305605119055,2.22,4.77506785609243,4585.0,14.584725005566689,897.0,2.878136430725791,139.0,0.4471322417730884,17.974716036706667
Nevada,Eureka,1853,1909,1863,50,418,432,112,4.9,41.3,42.7,11.1,190.0,83.51648351648352,1.5289058767319637,3.8222646918299095,1.815575728619207,1.2422360248447204,2.43,0.169210084482198,165.0,8.856682769726248,55.0,2.8810895756940806,21.0,1.1332973556395036,9.952854897852278
Vermont,Grand Isle,7276,7418,7489,284,1640,1231,2323,5.2,29.9,22.5,42.4,574.0,92.01555411535968,1.1276733635774463,3.38302009073234,0.9591704471808168,0.3110823071937783,2.35,32.87212693068,1132.0,15.11550273734811,217.0,2.925316796980318,33.0,0.45354590434304565,7.737934753302778
Washington,Wahkiakum,4443,4579,4688,245,1008,1415,722,7.2,29.7,41.7,21.3,535.0,87.17152907097041,1.2621560107593628,4.386509414442375,2.1932547072211874,0.7034967928822677,2.24,6.15163831925205,537.0,11.454778156996587,134.0,2.9264031447914394,11.0,0.24758046365068648,11.683773749727015
Maine,Lincoln,35249,35985,36215,1636,8609,6553,10109,6.1,32.0,24.4,37.6,3266.0,94.16734805124013,0.8203870264377214,2.022349414009267,1.065685472880894,0.1171981466339602,2.17,28.8534916982215,5578.0,15.40245754521607,1062.0,2.9512296790329304,97.0,0.2751851116343726,9.076003890509934
Washington,Skamania,12033,12207,12460,648,2891,3168,2341,7.2,32.0,35.0,25.9,1324.0,85.69044006069802,1.244309559939302,4.711684370257967,2.215477996965099,0.7966616084977238,2.47,2.70554193468086,1531.0,12.287319422150883,361.0,2.9573195707381013,80.0,0.6648383611734398,10.846235766363561
Virginia,Falls Church city,14677,14546,14586,262,639,1178,7681,2.7,6.5,12.1,78.7,581.0,71.93778746066329,4.932219801500847,1.458484628419269,12.702735415153716,0.2360203340595497,2.66,2654.0182424841,2226.0,15.261209378856439,431.0,2.9630138869792386,83.0,0.5655106629420181,3.994225216554379
Vermont,Windham,45850,46128,45842,2149,10352,7608,13888,6.3,30.4,22.4,40.9,5065.0,90.13316449491442,2.1486050406437647,2.5366610841060413,1.5767329765940932,0.1143744128099342,2.16,21.2096317380194,6994.0,15.25675145063479,1381.0,2.9938432188692334,169.0,0.3685932388222464,10.980315643426986
