"GEO_ID","NAME","P6_001N","P6_001NA","P6_002N","P6_002NA","P6_003N","P6_003NA","P6_004N","P6_004NA","P6_005N","P6_005NA","P6_006N","P6_006NA","P6_007N","P6_007NA",
"Geography","Geographic Area Name"," !!Total races tallied:","Annotation of  !!Total races tallied:"," !!Total races tallied:!!White alone or in combination with one or more other races","Annotation of  !!Total races tallied:!!White alone or in combination with one or more other races"," !!Total races tallied:!!Black or African American alone or in combination with one or more other races","Annotation of  !!Total races tallied:!!Black or African American alone or in combination with one or more other races"," !!Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races","Annotation of  !!Total races tallied:!!American Indian and Alaska Native alone or in combination with one or more other races"," !!Total races tallied:!!Asian alone or in combination with one or more other races","Annotation of  !!Total races tallied:!!Asian alone or in combination with one or more other races"," !!Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Annotation of  !!Total races tallied:!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races"," !!Total races tallied:!!Some Other Race alone or in combination with one or more other races","Annotation of  !!Total races tallied:!!Some Other Race alone or in combination with one or more other races",
"0500000US01001","Autauga County, Alabama","62152","null","45084","null","12266","null","1426","null","1360","null","115","null","1901","null",
"0500000US01003","Baldwin County, Alabama","247467","null","203968","null","20913","null","6961","null","3498","null","354","null","11773","null",
"0500000US01005","Barbour County, Alabama","25973","null","11939","null","12261","null","362","null","152","null","13","null","1246","null",
"0500000US01007","Bibb County, Alabama","23121","null","17275","null","4643","null","430","null","56","null","18","null","699","null",
"0500000US01009","Blount County, Alabama","62946","null","54252","null","1250","null","1826","null","358","null","66","null","5194","null",
"0500000US01011","Bullock County, Alabama","10636","null","2526","null","7492","null","138","null","28","null","18","null","434","null",
"0500000US01013","Butler County, Alabama","19681","null","10263","null","8742","null","223","null","197","null","29","null","227","null",
"0500000US01015","Calhoun County, Alabama","122803","null","86179","null","27445","null","2783","null","1753","null","233","null","4410","null",
"0500000US01017","Chambers County, Alabama","36082","null","19955","null","14009","null","518","null","483","null","39","null","1078","null",
"0500000US01019","Cherokee County, Alabama","25930","null","23581","null","1219","null","604","null","98","null","25","null","403","null",
"0500000US01021","Chilton County, Alabama","47099","null","37443","null","4537","null","1041","null","262","null","25","null","3791","null",
